"Step","20-agents - total_rewards","20-agents - total_rewards__MIN","20-agents - total_rewards__MAX","15-agents - total_rewards","15-agents - total_rewards__MIN","15-agents - total_rewards__MAX","10-agents - total_rewards","10-agents - total_rewards__MIN","10-agents - total_rewards__MAX","5-agents - total_rewards","5-agents - total_rewards__MIN","5-agents - total_rewards__MAX","1-agent - total_rewards","1-agent - total_rewards__MIN","1-agent - total_rewards__MAX"
"35","2.4088","2.4088","2.4088","1.884","1.884","1.884","0.47440000000000004","0.47440000000000004","0.47440000000000004","0.4888","0.4888","0.4888","0","0","0"
"36","0.9136","0.9136","0.9136","2.5572","2.5572","2.5572","1.7436","1.7436","1.7436","1.2908","1.2908","1.2908","0","0","0"
"37","0","0","0","0","0","0","0.42399999999999993","0.42399999999999993","0.42399999999999993","1.5356","1.5356","1.5356","0","0","0"
"38","0.352","0.352","0.352","1.7336","1.7336","1.7336","1.6364","1.6364","1.6364","0.9496","0.9496","0.9496","0","0","0"
"39","1.0423999999999998","1.0423999999999998","1.0423999999999998","2.534","2.534","2.534","2.0064","2.0064","2.0064","0.9487999999999999","0.9487999999999999","0.9487999999999999","0","0","0"
"40","3.4108","3.4108","3.4108","1.416","1.416","1.416","1.1711999999999998","1.1711999999999998","1.1711999999999998","0.4384","0.4384","0.4384","0","0","0"
"41","1.3764","1.3764","1.3764","3.7312","3.7312","3.7312","2.5844","2.5844","2.5844","1.5932","1.5932","1.5932","0","0","0"
"42","1.3512","1.3512","1.3512","2.7932","2.7932","2.7932","1.2511999999999999","1.2511999999999999","1.2511999999999999","0.43479999999999996","0.43479999999999996","0.43479999999999996","0","0","0"
"43","0","0","0","1.2287999999999997","1.2287999999999997","1.2287999999999997","0.5680000000000001","0.5680000000000001","0.5680000000000001","0.27279999999999993","0.27279999999999993","0.27279999999999993","0","0","0"
"44","3.5232","3.5232","3.5232","0.974","0.974","0.974","0.362","0.362","0.362","1.3404","1.3404","1.3404","0","0","0"
"45","2.524","2.524","2.524","3.0091999999999994","3.0091999999999994","3.0091999999999994","1.4996","1.4996","1.4996","0.32319999999999993","0.32319999999999993","0.32319999999999993","0","0","0"
"46","2.6284","2.6284","2.6284","1.0604","1.0604","1.0604","1.0748","1.0748","1.0748","1.6867999999999999","1.6867999999999999","1.6867999999999999","0","0","0"
"47","1.7628000000000004","1.7628000000000004","1.7628000000000004","2.7887999999999997","2.7887999999999997","2.7887999999999997","1.5428","1.5428","1.5428","1.0532","1.0532","1.0532","0","0","0"
"48","2.0884","2.0884","2.0884","1.4564","1.4564","1.4564","1.3807999999999998","1.3807999999999998","1.3807999999999998","2.0784000000000002","2.0784000000000002","2.0784000000000002","0","0","0"
"49","1.7391999999999999","1.7391999999999999","1.7391999999999999","2.0847999999999995","2.0847999999999995","2.0847999999999995","2.5284","2.5284","2.5284","0.136","0.136","0.136","0","0","0"
"50","1.6068000000000002","1.6068000000000002","1.6068000000000002","1.5052","1.5052","1.5052","3.362","3.362","3.362","0","0","0","0","0","0"
"51","5.2172","5.2172","5.2172","3.0775999999999994","3.0775999999999994","3.0775999999999994","0.9875999999999998","0.9875999999999998","0.9875999999999998","1.992","1.992","1.992","0","0","0"
"52","3.2576","3.2576","3.2576","2.442","2.442","2.442","1.6680000000000001","1.6680000000000001","1.6680000000000001","1.5124","1.5124","1.5124","0","0","0"
"53","1.8443999999999998","1.8443999999999998","1.8443999999999998","3.1928","3.1928","3.1928","1.0424","1.0424","1.0424","2.1324","2.1324","2.1324","0","0","0"
"54","1.7759999999999998","1.7759999999999998","1.7759999999999998","4.699600000000001","4.699600000000001","4.699600000000001","0.6724","0.6724","0.6724","0.7336","0.7336","0.7336","0","0","0"
"55","4.5484","4.5484","4.5484","1.2944","1.2944","1.2944","2.388","2.388","2.388","1.1936","1.1936","1.1936","0","0","0"
"56","2.2836","2.2836","2.2836","1.2584","1.2584","1.2584","1.1576","1.1576","1.1576","0.8596","0.8596","0.8596","0","0","0"
"57","0.36640000000000006","0.36640000000000006","0.36640000000000006","2.6427999999999994","2.6427999999999994","2.6427999999999994","2.9336","2.9336","2.9336","0.15039999999999998","0.15039999999999998","0.15039999999999998","0","0","0"
"58","0.974","0.974","0.974","2.1504","2.1504","2.1504","1.8732","1.8732","1.8732","0.3196","0.3196","0.3196","0","0","0"
"59","1.1936","1.1936","1.1936","3.2576","3.2576","3.2576","2.334","2.334","2.334","1.4276","1.4276","1.4276","0","0","0"
"60","3.2488","3.2488","3.2488","2.4384","2.4384","2.4384","4.3116","4.3116","4.3116","0.8164","0.8164","0.8164","0.7192000000000001","0.7192000000000001","0.7192000000000001"
"61","2.3944","2.3944","2.3944","0.9704","0.9704","0.9704","2.4448000000000003","2.4448000000000003","2.4448000000000003","1.5248","1.5248","1.5248","0","0","0"
"62","1.7824","1.7824","1.7824","3.2891999999999992","3.2891999999999992","3.2891999999999992","1.0892","1.0892","1.0892","0.47720000000000007","0.47720000000000007","0.47720000000000007","0","0","0"
"63","3.5872","3.5872","3.5872","2.8444000000000003","2.8444000000000003","2.8444000000000003","1.8796000000000002","1.8796000000000002","1.8796000000000002","0.5895999999999999","0.5895999999999999","0.5895999999999999","0","0","0"
"64","2.9948","2.9948","2.9948","2.3044000000000002","2.3044000000000002","2.3044000000000002","2.0172","2.0172","2.0172","0.136","0.136","0.136","0","0","0"
"65","1.0416","1.0416","1.0416","1.064","1.064","1.064","1.0352000000000001","1.0352000000000001","1.0352000000000001","0.964","0.964","0.964","0.40959999999999996","0.40959999999999996","0.40959999999999996"
"66","3.3728","3.3728","3.3728","2.488","2.488","2.488","1.0748","1.0748","1.0748","1.6004","1.6004","1.6004","0","0","0"
"67","3.6464000000000003","3.6464000000000003","3.6464000000000003","2.4339999999999997","2.4339999999999997","2.4339999999999997","1.6543999999999999","1.6543999999999999","1.6543999999999999","0.8992","0.8992","0.8992","0","0","0"
"68","3.2640000000000002","3.2640000000000002","3.2640000000000002","3.1552","3.1552","3.1552","0","0","0","2.1064","2.1064","2.1064","0","0","0"
"69","1.3592","1.3592","1.3592","1.7292","1.7292","1.7292","1.136","1.136","1.136","0.7552","0.7552","0.7552","0","0","0"
"70","2.2396","2.2396","2.2396","2.8588","2.8588","2.8588","2.0568","2.0568","2.0568","0.5132","0.5132","0.5132","0","0","0"
"71","0.4959999999999999","0.4959999999999999","0.4959999999999999","3.9283999999999994","3.9283999999999994","3.9283999999999994","1.676","1.676","1.676","0.46720000000000006","0.46720000000000006","0.46720000000000006","0","0","0"
"72","6.048","6.048","6.048","2.6196","2.6196","2.6196","2.2367999999999997","2.2367999999999997","2.2367999999999997","0","0","0","0","0","0"
"73","2.74","2.74","2.74","2.8204000000000002","2.8204000000000002","2.8204000000000002","1.9307999999999998","1.9307999999999998","1.9307999999999998","0","0","0","0","0","0"
"74","3.2316000000000003","3.2316000000000003","3.2316000000000003","1.1108","1.1108","1.1108","0.9856","0.9856","0.9856","1.874","1.874","1.874","0","0","0"
